symbol,index_code,first_seen_date,last_seen_date,inclusion_date,removed_date
000012,000852,2026-06-28,2026-06-28,,
000028,000852,2026-06-28,2026-06-28,2022-12-12,
000029,000852,2026-06-28,2026-06-28,2023-06-12,
000030,000852,2026-06-28,2026-06-28,2018-06-11,
000035,000852,2026-06-28,2026-06-28,2014-12-15,
000048,000852,2026-06-28,2026-06-28,2021-12-13,
000049,000852,2026-06-28,2026-06-28,,
000058,000852,2026-06-28,2026-06-28,2014-10-17,
000059,000852,2026-06-28,2026-06-28,2016-12-12,
000061,000852,2026-06-28,2026-06-28,2021-12-13,
000065,000852,2026-06-28,2026-06-28,2014-12-15,
000089,000852,2026-06-28,2026-06-28,,
000099,000852,2026-06-28,2026-06-28,,
000156,000852,2026-06-28,2026-06-28,,
000403,000852,2026-06-28,2026-06-28,2025-12-15,
000420,000852,2026-06-28,2026-06-28,2023-12-11,
000422,000852,2026-06-28,2026-06-28,2022-06-13,
000498,000852,2026-06-28,2026-06-28,2015-06-15,
000503,000852,2026-06-28,2026-06-28,2020-06-15,
000506,000852,2026-06-28,2026-06-28,2026-06-15,
000534,000852,2026-06-28,2026-06-28,2026-06-15,
000543,000852,2026-06-28,2026-06-28,2025-12-15,
000550,000852,2026-06-28,2026-06-28,2017-12-11,
000552,000852,2026-06-28,2026-06-28,2023-06-12,
000555,000852,2026-06-28,2026-06-28,2018-06-11,
000563,000852,2026-06-28,2026-06-28,2026-06-15,
000567,000852,2026-06-28,2026-06-28,,
000581,000852,2026-06-28,2026-06-28,,
000600,000852,2026-06-28,2026-06-28,2021-06-15,
000603,000852,2026-06-28,2026-06-28,2016-12-12,
000612,000852,2026-06-28,2026-06-28,2025-06-16,
000620,000852,2026-06-28,2026-06-28,,
000628,000852,2026-06-28,2026-06-28,,
000636,000852,2026-06-28,2026-06-28,2025-12-15,
000650,000852,2026-06-28,2026-06-28,2016-12-12,
000672,000852,2026-06-28,2026-06-28,2017-12-11,
000676,000852,2026-06-28,2026-06-28,2016-06-13,
000680,000852,2026-06-28,2026-06-28,,
000681,000852,2026-06-28,2026-06-28,2022-06-13,
000682,000852,2026-06-28,2026-06-28,,
000685,000852,2026-06-28,2026-06-28,2022-12-12,
000686,000852,2026-06-28,2026-06-28,2023-06-12,
000688,000852,2026-06-28,2026-06-28,2016-12-12,
000690,000852,2026-06-28,2026-06-28,,
000712,000852,2026-06-28,2026-06-28,2021-06-15,
000719,000852,2026-06-28,2026-06-28,2023-12-11,
000727,000852,2026-06-28,2026-06-28,2021-12-13,
000758,000852,2026-06-28,2026-06-28,2022-06-13,
000762,000852,2026-06-28,2026-06-28,2021-12-13,
000766,000852,2026-06-28,2026-06-28,,
000767,000852,2026-06-28,2026-06-28,2021-06-15,
000778,000852,2026-06-28,2026-06-28,,
000791,000852,2026-06-28,2026-06-28,2018-06-11,
000795,000852,2026-06-28,2026-06-28,2016-12-12,
000801,000852,2026-06-28,2026-06-28,,
000810,000852,2026-06-28,2026-06-28,2018-06-11,
000811,000852,2026-06-28,2026-06-28,2014-10-17,
000813,000852,2026-06-28,2026-06-28,,
000828,000852,2026-06-28,2026-06-28,2020-12-14,
000829,000852,2026-06-28,2026-06-28,,
000833,000852,2026-06-28,2026-06-28,2025-12-15,
000837,000852,2026-06-28,2026-06-28,2023-12-11,
000848,000852,2026-06-28,2026-06-28,2020-12-14,
000860,000852,2026-06-28,2026-06-28,2021-12-13,
000875,000852,2026-06-28,2026-06-28,2014-10-17,
000880,000852,2026-06-28,2026-06-28,,
000885,000852,2026-06-28,2026-06-28,2016-12-12,
000899,000852,2026-06-28,2026-06-28,,
000901,000852,2026-06-28,2026-06-28,2014-10-17,
000902,000852,2026-06-28,2026-06-28,2014-12-15,
000913,000852,2026-06-28,2026-06-28,2018-12-17,
000917,000852,2026-06-28,2026-06-28,2017-12-11,
000923,000852,2026-06-28,2026-06-28,2018-06-11,
000927,000852,2026-06-28,2026-06-28,2021-06-15,
000928,000852,2026-06-28,2026-06-28,2015-06-15,
000930,000852,2026-06-28,2026-06-28,,
000935,000852,2026-06-28,2026-06-28,2018-06-11,
000950,000852,2026-06-28,2026-06-28,,
000962,000852,2026-06-28,2026-06-28,2026-06-15,
000966,000852,2026-06-28,2026-06-28,2021-12-13,
000969,000852,2026-06-28,2026-06-28,2019-12-16,
000970,000852,2026-06-28,2026-06-28,,
000973,000852,2026-06-28,2026-06-28,2026-06-15,
000990,000852,2026-06-28,2026-06-28,2023-06-12,
000998,000852,2026-06-28,2026-06-28,2026-06-15,
001227,000852,2026-06-28,2026-06-28,,
001233,000852,2026-06-28,2026-06-28,2026-06-15,
001236,000852,2026-06-28,2026-06-28,2023-06-12,
001267,000852,2026-06-28,2026-06-28,2026-06-15,
001287,000852,2026-06-28,2026-06-28,2023-12-11,
001301,000852,2026-06-28,2026-06-28,2023-06-12,
001337,000852,2026-06-28,2026-06-28,2023-12-11,
001339,000852,2026-06-28,2026-06-28,,
001359,000852,2026-06-28,2026-06-28,2026-06-15,
001369,000852,2026-06-28,2026-06-28,2026-06-15,
001382,000852,2026-06-28,2026-06-28,2026-05-11,
001896,000852,2026-06-28,2026-06-28,2026-06-15,
001914,000852,2026-06-28,2026-06-28,,
002003,000852,2026-06-28,2026-06-28,2022-12-12,
002004,000852,2026-06-28,2026-06-28,2022-12-12,
002006,000852,2026-06-28,2026-06-28,2022-12-12,
002010,000852,2026-06-28,2026-06-28,,
002011,000852,2026-06-28,2026-06-28,,
002015,000852,2026-06-28,2026-06-28,2020-06-15,
002017,000852,2026-06-28,2026-06-28,,
002019,000852,2026-06-28,2026-06-28,2025-06-16,
002020,000852,2026-06-28,2026-06-28,2018-06-11,
002023,000852,2026-06-28,2026-06-28,,
002036,000852,2026-06-28,2026-06-28,2016-06-13,
002041,000852,2026-06-28,2026-06-28,,
002043,000852,2026-06-28,2026-06-28,2016-06-13,
002045,000852,2026-06-28,2026-06-28,2025-06-16,
002046,000852,2026-06-28,2026-06-28,2025-12-15,
002048,000852,2026-06-28,2026-06-28,2023-06-12,
002051,000852,2026-06-28,2026-06-28,2022-12-12,
002053,000852,2026-06-28,2026-06-28,2023-06-12,
002060,000852,2026-06-28,2026-06-28,2023-06-12,
002061,000852,2026-06-28,2026-06-28,2018-06-11,
002063,000852,2026-06-28,2026-06-28,,
002073,000852,2026-06-28,2026-06-28,2025-06-16,
002075,000852,2026-06-28,2026-06-28,,
002077,000852,2026-06-28,2026-06-28,2023-12-11,
002081,000852,2026-06-28,2026-06-28,2023-12-11,
002091,000852,2026-06-28,2026-06-28,2016-06-13,
002093,000852,2026-06-28,2026-06-28,2025-06-16,
002096,000852,2026-06-28,2026-06-28,2023-12-11,
002097,000852,2026-06-28,2026-06-28,2014-10-17,
002099,000852,2026-06-28,2026-06-28,2014-10-17,
002100,000852,2026-06-28,2026-06-28,,
002101,000852,2026-06-28,2026-06-28,2023-06-12,
002104,000852,2026-06-28,2026-06-28,2025-12-15,
002110,000852,2026-06-28,2026-06-28,,
002121,000852,2026-06-28,2026-06-28,2026-05-11,
002123,000852,2026-06-28,2026-06-28,,
002125,000852,2026-06-28,2026-06-28,2023-06-12,
002127,000852,2026-06-28,2026-06-28,2023-12-11,
002139,000852,2026-06-28,2026-06-28,2014-10-17,
002145,000852,2026-06-28,2026-06-28,2014-10-17,
002149,000852,2026-06-28,2026-06-28,2025-06-16,
002151,000852,2026-06-28,2026-06-28,,
002158,000852,2026-06-28,2026-06-28,2018-06-11,
002163,000852,2026-06-28,2026-06-28,,
002170,000852,2026-06-28,2026-06-28,2025-12-15,
002171,000852,2026-06-28,2026-06-28,2014-12-15,
002174,000852,2026-06-28,2026-06-28,2022-12-12,
002176,000852,2026-06-28,2026-06-28,2021-12-13,
002181,000852,2026-06-28,2026-06-28,2026-06-15,
002182,000852,2026-06-28,2026-06-28,2014-10-17,
002183,000852,2026-06-28,2026-06-28,2023-12-11,
002192,000852,2026-06-28,2026-06-28,,
002194,000852,2026-06-28,2026-06-28,2020-06-15,
002204,000852,2026-06-28,2026-06-28,,
002212,000852,2026-06-28,2026-06-28,2023-06-12,
002215,000852,2026-06-28,2026-06-28,2014-10-17,
002216,000852,2026-06-28,2026-06-28,2019-12-16,
002221,000852,2026-06-28,2026-06-28,2023-12-11,
002222,000852,2026-06-28,2026-06-28,2014-10-17,
002226,000852,2026-06-28,2026-06-28,2015-06-15,
002233,000852,2026-06-28,2026-06-28,2022-12-12,
002237,000852,2026-06-28,2026-06-28,2017-12-11,
002239,000852,2026-06-28,2026-06-28,2016-06-13,
002243,000852,2026-06-28,2026-06-28,2019-12-16,
002245,000852,2026-06-28,2026-06-28,2014-10-17,
002246,000852,2026-06-28,2026-06-28,2026-06-15,
002249,000852,2026-06-28,2026-06-28,2023-12-11,
002250,000852,2026-06-28,2026-06-28,2026-06-15,
002251,000852,2026-06-28,2026-06-28,2025-12-15,
002254,000852,2026-06-28,2026-06-28,2019-12-16,
002258,000852,2026-06-28,2026-06-28,2018-06-11,
002267,000852,2026-06-28,2026-06-28,2018-06-11,
002268,000852,2026-06-28,2026-06-28,2025-06-16,
